"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","33.83383187892643","32.77668889972384","35.00705378373751"
"integrated mean","39.19900186731818","38.10840585545578","40.29443231127274"
"std","26.88517966833473","26.510127845285986","27.26077995687559"
"3rd Norm. Moment","194.00744431735575","170.03296597825414","217.65739803299252"
"4th Norm. Moment","537.7698592294099","491.6873258263009","584.348784755823"
"5th Norm. Moment","480.0412705136504","389.2946344173284","573.2461158872619"
