"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","34.412888440196426","33.62044524763752","35.14152100026146"
"integrated mean","39.91222770838273","39.36568066970018","40.46309690528992"
"std","27.444273380244166","27.295466682359837","27.59555398425448"
"3rd Norm. Moment","224.69539584216014","212.34027038299885","236.979532083291"
"4th Norm. Moment","617.2168607686461","594.6209782504412","639.9742559948678"
"5th Norm. Moment","564.9818390593645","513.9486351199365","616.729665262487"
