"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","30.741465805838455","29.86400386323136","31.3110182130111"
"integrated mean","36.0093534691873","34.96217119321926","37.043862812978574"
"std","25.31867554968231","24.819998182302637","25.819129502344282"
"3rd Norm. Moment","280.51034479400477","257.701684944427","303.25276386148215"
"4th Norm. Moment","734.8090388043372","680.3227630653004","789.3417494424342"
"5th Norm. Moment","863.9110848215819","726.0846575448256","1002.1205233879544"
