"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","37.72228524094023","35.492300073809126","39.33497527413003"
"integrated mean","42.63648304852461","40.72655020042428","44.25906885914413"
"std","28.27827020696565","27.646993352768547","28.750582567816412"
"3rd Norm. Moment","147.47058092256512","138.0619928570597","158.49153482828456"
"4th Norm. Moment","475.5633486675055","454.74497906031934","502.201410256391"
"5th Norm. Moment","307.2966640685236","261.51064801583397","367.5124367951768"
