"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","37.72151325891101","35.492300073809126","39.33497527413003"
"integrated mean","42.63626973010603","40.72663000556754","44.25864124657673"
"std","28.277619782811446","27.647128185876845","28.749624897966928"
"3rd Norm. Moment","147.45595835390347","138.06026866124742","158.48178711321435"
"4th Norm. Moment","475.5373804880464","454.7486140694753","502.1944993988144"
"5th Norm. Moment","307.2663283447294","261.5117690257148","367.49075345921295"
