"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","35.07981364156556","33.231019240908125","36.25394194616398"
"integrated mean","40.42769864038607","40.29658715040252","40.55840949582109"
"std","27.530661113604335","26.607229793000055","28.46191268672358"
"3rd Norm. Moment","160.14363722563613","130.09960646329077","190.16661578963607"
"4th Norm. Moment","454.9319258536405","402.7629378887981","507.1736501801395"
"5th Norm. Moment","378.31662638515826","307.8235459612261","448.2447574248876"
