"Statistics","Mean","Lower Confidence (95%)","Upper Confidence (95%)"
"median","36.60687790899446","36.01662909678237","36.75242446839483"
"integrated mean","41.18139785846322","40.77797388582039","41.58399574976865"
"std","27.145589097245857","27.06760369927925","27.223281508837932"
"3rd Norm. Moment","121.39231402756724","113.84303144936453","129.01930715919406"
"4th Norm. Moment","404.4889457112156","393.1962274714311","415.7708279402477"
"5th Norm. Moment","243.68571429651266","222.54658435211235","264.8066725803268"
